loc,var,year,Yield
UF,M,1,81
UF,S,1,105.4
UF,V,1,119.7
UF,T,1,109.7
UF,P,1,98.3
W,M,1,146.6
W,S,1,142
W,V,1,150.7
W,T,1,191.5
W,P,1,145.7
M,M,1,82.3
M,S,1,77.3
M,V,1,78.4
M,T,1,131.3
M,P,1,89.6
C,M,1,119.8
C,S,1,121.4
C,V,1,124
C,T,1,140.8
C,P,1,124.8
GR,M,1,98.9
GR,S,1,89
GR,V,1,69.1
GR,T,1,89.3
GR,P,1,104.1
D,M,1,86.9
D,S,1,77.1
D,V,1,78.9
D,T,1,101.8
D,P,1,96
UF,M,2,80.7
UF,S,2,82.3
UF,V,2,80.4
UF,T,2,87.2
UF,P,2,84.2
W,M,2,100.4
W,S,2,115.5
W,V,2,112.2
W,T,2,147.7
W,P,2,108.1
M,M,2,103.1
M,S,2,105.1
M,V,2,116.5
M,T,2,139.9
M,P,2,129.6
C,M,2,98.9
C,S,2,61.9
C,V,2,96.2
C,T,2,125.5
C,P,2,75.7
GR,M,2,66.4
GR,S,2,49.9
GR,V,2,96.7
GR,T,2,61.9
GR,P,2,80.3
D,M,2,67.7
D,S,2,66.7
D,V,2,67.4
D,T,2,91.8
D,P,2,94.1
